,year,,,,,,,
state,2019,2020,2021,2022,2023,2024,2025,2026
Johor,17273,21015,8476,38723,39756,32254,29148,12610
Kedah,31751,37389,13078,26761,37202,35866,26675,9074
Kelantan,17280,26249,12453,25075,38080,35579,28959,6435
Melaka,9163,8663,4198,7817,10132,8752,7875,2187
Negeri Sembilan,8103,5404,2470,10275,20789,27560,17071,4678
Pahang,11451,15047,6755,6555,9038,13709,16064,4983
Perak,23269,29141,14415,31808,39448,37981,36342,11586
Perlis,5653,2589,1296,1622,3995,4292,4009,801
Pulau Pinang,24121,9622,3111,11733,13917,13282,15164,6443
Sabah,19348,16625,5658,28959,25403,20975,37930,7536
Sarawak,39333,25606,11332,40175,37477,30774,26656,6149
Selangor,12913,10114,8880,26597,39663,42246,53273,20433
Terengganu,6487,10009,4680,11094,15898,22720,17053,3893
W.P. Kuala Lumpur,4713,4200,2695,6706,8992,8258,9118,2990
W.P. Labuan,374,81,18,166,381,607,340,126
W.P. Putrajaya,350,107,48,132,353,374,207,93
