Year,State,Donations
2012,Johor,34180
2012,Kedah,53664
2012,Kelantan,9052
2012,Melaka,27807
2012,Negeri Sembilan,14299
2012,Pahang,12587
2012,Perak,33604
2012,Pulau Pinang,0
2012,Sabah,21333
2012,Sarawak,17072
2012,Selangor,24383
2012,Terengganu,14718
2012,W.P. Kuala Lumpur,162027
2022,Johor,42832
2022,Kedah,21128
2022,Kelantan,15060
2022,Melaka,30510
2022,Negeri Sembilan,15917
2022,Pahang,23851
2022,Perak,46498
2022,Pulau Pinang,38420
2022,Sabah,35530
2022,Sarawak,40129
2022,Selangor,29313
2022,Terengganu,18226
2022,W.P. Kuala Lumpur,202413
